iter	Passed	Remaining
0	157	157486
1	161	80803
2	166	55408
3	172	42846
4	178	35424
5	182	30257
6	187	26636
7	192	23824
8	196	21638
9	200	19886
10	206	18569
11	211	17414
12	215	16377
13	220	15548
14	224	14769
15	229	14120
16	234	13547
17	240	13140
18	245	12656
19	249	12246
20	254	11854
21	259	11516
22	263	11210
23	269	10945
24	274	10697
25	278	10441
26	284	10257
27	289	10043
28	293	9840
29	298	9666
30	304	9533
31	309	9361
32	314	9201
33	319	9066
34	323	8924
35	328	8799
36	333	8679
37	338	8573
38	343	8472
39	349	8377
40	353	8266
41	358	8174
42	363	8089
43	368	8009
44	372	7914
45	377	7839
46	382	7758
47	387	7681
48	392	7611
49	396	7541
50	402	7486
51	407	7427
52	411	7359
53	416	7301
54	421	7236
55	425	7176
56	430	7129
57	435	7074
58	440	7027
59	445	6973
60	449	6923
61	454	6873
62	458	6824
63	464	6797
64	469	6747
65	473	6704
66	478	6658
67	482	6612
68	486	6570
69	491	6528
70	496	6502
71	501	6464
72	506	6426
73	511	6398
74	515	6360
75	522	6355
76	527	6324
77	532	6296
78	538	6275
79	543	6244
80	547	6212
81	553	6195
82	558	6172
83	563	6140
84	568	6115
85	573	6091
86	578	6068
87	583	6048
88	590	6039
89	594	6010
90	599	5993
91	605	5973
92	609	5949
93	616	5941
94	621	5917
95	626	5902
96	631	5878
97	636	5854
98	641	5838
99	651	5862
100	660	5882
101	666	5868
102	672	5857
103	677	5837
104	682	5821
105	687	5799
106	692	5782
107	697	5763
108	702	5740
109	707	5720
110	711	5698
111	715	5674
112	719	5651
113	724	5632
114	728	5609
115	733	5587
116	737	5568
117	742	5551
118	747	5530
119	751	5512
120	756	5497
121	761	5479
122	765	5460
123	770	5442
124	774	5423
125	779	5404
126	783	5385
127	788	5371
128	792	5353
129	797	5338
130	802	5322
131	807	5309
132	811	5292
133	816	5277
134	822	5270
135	827	5255
136	831	5239
137	837	5228
138	842	5215
139	846	5200
140	851	5185
141	857	5179
142	861	5162
143	866	5150
144	873	5148
145	877	5133
146	882	5118
147	887	5109
148	892	5097
149	897	5087
150	903	5082
151	908	5067
152	913	5055
153	918	5046
154	923	5032
155	927	5019
156	933	5012
157	938	5002
158	943	4988
159	948	4980
160	953	4967
161	957	4952
162	961	4938
163	966	4925
164	970	4912
165	975	4898
166	979	4885
167	985	4878
168	989	4866
169	994	4856
170	1001	4853
171	1005	4840
172	1010	4831
173	1015	4821
174	1020	4810
175	1025	4799
176	1030	4790
177	1034	4778
178	1039	4766
179	1043	4754
180	1048	4746
181	1053	4734
182	1058	4727
183	1063	4717
184	1068	4705
185	1072	4693
186	1076	4682
187	1082	4674
188	1087	4667
189	1092	4656
190	1096	4645
191	1101	4633
192	1105	4622
193	1110	4613
194	1115	4603
195	1119	4593
196	1124	4582
197	1128	4571
198	1133	4561
199	1138	4553
200	1143	4543
201	1148	4538
202	1154	4532
203	1158	4522
204	1163	4512
205	1168	4502
206	1172	4492
207	1177	4485
208	1182	4475
209	1187	4467
210	1192	4457
211	1196	4446
212	1201	4437
213	1205	4428
214	1210	4420
215	1215	4410
216	1220	4402
217	1224	4391
218	1229	4383
219	1235	4379
220	1240	4372
221	1244	4362
222	1249	4354
223	1254	4345
224	1258	4335
225	1263	4325
226	1267	4316
227	1271	4306
228	1277	4299
229	1282	4293
230	1286	4282
231	1291	4274
232	1295	4266
233	1300	4258
234	1305	4250
235	1310	4242
236	1314	4233
237	1319	4223
238	1324	4215
239	1328	4207
240	1332	4197
241	1337	4188
242	1342	4182
243	1348	4176
244	1352	4169
245	1357	4160
246	1361	4151
247	1365	4141
248	1371	4136
249	1376	4128
250	1380	4119
251	1384	4110
252	1389	4101
253	1393	4092
254	1397	4084
255	1402	4075
256	1408	4072
257	1413	4064
258	1417	4056
259	1422	4048
260	1426	4040
261	1431	4031
262	1435	4022
263	1440	4017
264	1445	4008
265	1449	4000
266	1454	3992
267	1458	3984
268	1462	3975
269	1467	3967
270	1473	3963
271	1477	3955
272	1482	3947
273	1486	3939
274	1490	3930
275	1495	3921
276	1499	3913
277	1504	3907
278	1508	3898
279	1513	3891
280	1517	3882
281	1521	3874
282	1525	3865
283	1531	3860
284	1536	3854
285	1540	3846
286	1545	3838
287	1549	3830
288	1553	3822
289	1557	3814
290	1562	3806
291	1567	3799
292	1571	3792
293	1576	3785
294	1580	3777
295	1584	3769
296	1589	3762
297	1593	3754
298	1598	3746
299	1602	3739
300	1607	3732
301	1611	3724
302	1615	3716
303	1620	3709
304	1624	3701
305	1628	3693
306	1633	3686
307	1637	3679
308	1641	3671
309	1646	3665
310	1651	3657
311	1655	3650
312	1659	3642
313	1664	3636
314	1668	3628
315	1673	3621
316	1677	3615
317	1682	3608
318	1687	3601
319	1691	3594
320	1696	3588
321	1700	3581
322	1705	3574
323	1709	3567
324	1714	3561
325	1718	3553
326	1723	3546
327	1727	3538
328	1732	3533
329	1736	3526
330	1741	3519
331	1745	3512
332	1750	3505
333	1754	3498
